Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Jerome Ford,@ DEN,NFL2H,Rush Yards,16.5,25.84,56.62%
Lameck Banda,@ VER,SOCCER,Shots,1.5,2.31,54.00%
Matt Prater,vs LAR,NFL2H,FG Made,0.5,0.77,53.94%
Josh Morrissey,@ NSH,NHL,Points,0.5,0.77,53.39%
Cooper Kupp,@ ARI,NFL2H,Fantasy Score,6,9.17,52.78%
Gabriel Strefezza,@ VER,SOCCER,Shots,1.5,2.29,52.67%
Nikolaj Ehlers,@ NSH,NHL,Points,0.5,0.76,52.30%
Nikola Vucevic,@ BKN,NBA,Blocked Shots,0.5,0.76,51.30%
Wil Lutz,vs CLE,NFL2H,FG Made,0.5,0.75,50.45%
Royce Freeman,@ ARI,NFL2H,Rush Yards,14.5,7.19,-50.41%
Elijah Hawkins,@ San Francisco,CBB,Points,8.5,12.76,50.15%
Puka Nacua,@ ARI,NFL2H,Receiving Yards,22.5,33.51,48.95%
Frank Vatrano,@ EDM,NHL,Points,0.5,0.74,47.43%
Kareem Hunt,@ DEN,NFL2H,Rush Yards,13.5,19.82,46.81%
Amine Bassi,vs SKC,SOCCER,Shots,1.5,2.19,46.00%
Franz Wagner,vs CHA,NBA,Turnovers,1.5,2.17,44.43%
Quentin Johnston,vs BAL,NFL,Receptions,2.5,3.61,44.40%
Keaton Mitchell,@ LAC,NFL1H,Fantasy Score,3.5,5.03,43.81%
Alex Killorn,@ EDM,NHL,Shots on Goal,1.5,2.15,43.60%
Dorian Thompson-Robinson,@ DEN,NFL2H,Fantasy Score,5,7.09,41.85%
Keaton Mitchell,@ LAC,NFL,Receiving Yards,8.5,12.00,41.18%
Alexander Mattison,vs CHI,NFL,Receiving Yards,10.5,14.79,40.90%
James Conner,vs LAR,NFL2H,Rush Yards,23.5,32.78,39.51%
Gabriel Davis,@ PHI,NFL2H,Receiving Yards,17.5,24.40,39.42%
Elijah Hawkins,@ San Francisco,CBB,Assists,4,5.57,39.28%
Joshua Ola-Joseph,@ San Francisco,CBB,Rebounds,2.5,3.47,38.74%
Evan Bouchard,vs ANH,NHL,Assists,0.5,0.69,38.55%
Desmond Bane,vs MIN,NBA,Rebounds,4.5,6.23,38.49%
Austin Ekeler,vs BAL,NFL,Receptions,4,5.54,38.39%
Zach Collins,@ DEN,NBA,Rebounds,6.5,8.96,37.90%
Bismack Biyombo,vs MIN,NBA,Rebounds,7,9.62,37.44%
Justin Herbert,vs BAL,NFL,Rush Yards,15.5,9.70,-37.39%
Reggie Jackson,vs SAS,NBA1Q,Points,2.5,3.42,36.96%
Jalen Guyton,vs BAL,NFL,Receiving Yards,28.5,38.94,36.63%
Khalil Herbert,@ MIN,NFL,Receiving Yards,10.5,14.28,36.00%
Neal Pionk,@ NSH,NHL,Hits,1.5,2.04,35.86%
Jaylen Brown,vs ATL,NBA,Rebounds,5.5,7.45,35.54%
Dustin Hopkins,@ DEN,NFL2H,FG Made,0.5,0.68,35.47%
Kyren Williams,@ ARI,NFL2H,Receiving Yards,9.5,12.85,35.31%
Elijah Hawkins,@ San Francisco,CBB,Pts+Rebs+Asts,17.5,23.59,34.79%
LaMelo Ball,@ ORL,NBA,Free Throws Made,4,2.63,-34.37%
Cameron Johnson,vs CHI,NBA1Q,Points,3.5,4.70,34.16%
Nickeil Alexander-Walker,@ MEM,NBA1H,Points,4.5,6.04,34.13%
Justin Watson,@ LV,NFL2H,Fantasy Score,2.5,3.35,33.96%
Lamar Jackson,@ LAC,NFL,Rush Yards,44.5,59.56,33.84%
Mason McTavish,@ EDM,NHL,Faceoffs Won,9.5,6.30,-33.65%
Zach Collins,@ DEN,NBA1Q,Points,2.5,3.34,33.62%
Kyler Murray,vs LAR,NFL2H,Rush Yards,18.5,12.32,-33.41%
Gabriel Davis,@ PHI,NFL2H,Fantasy Score,4,5.33,33.35%
Spencer Dinwiddie,vs CHI,NBA1Q,Points,3.5,4.67,33.31%
Jalen Hurts,vs BUF,NFL2H,Rush Yards,19.5,25.97,33.19%
Lucas Havrisik,@ ARI,NFL2H,FG Made,0.5,0.66,32.86%
Mark Williams,@ ORL,NBA,Rebounds,9.5,12.59,32.48%
Mason McTavish,@ EDM,NHL,Shots on Goal,2,2.64,32.16%
Corey Baird,vs SKC,SOCCER,Shots,1.5,1.98,32.00%
Jeremy Sochan,@ DEN,NBA,Assists,4,2.73,-31.74%
Ty Chandler,vs CHI,NFL,Receptions,1.5,1.02,-31.74%
Coby White,@ BKN,NBA,Assists,4.5,3.08,-31.52%
Elijah Hawkins,@ San Francisco,CBB,Rebounds,4,5.26,31.39%
Braeden Carrington,@ San Francisco,CBB,Rebounds,4,5.26,31.38%
Franz Wagner,vs CHA,NBA,Blks+Stls,1.5,1.03,-31.02%
Ronaldo Prieto,@ LEO,SOCCER,Clearances,4.5,5.86,30.22%
Joshua Kelley,vs BAL,NFL,Rush Yards,16.5,21.48,30.20%
Justin Tucker,@ LAC,NFL,FG Made,1.5,1.95,29.90%
Julius Randle,vs PHX,NBA,Assists,5,3.53,-29.41%
Cole Perfetti,@ NSH,NHL,Points,0.5,0.65,29.27%
Alexander Mattison,vs CHI,NFL1H,Rush Yards,22.5,29.00,28.89%
Joshua Dobbs,vs CHI,NFL,Touchdowns,1.5,1.07,-28.86%
Donte DiVincenzo,vs PHX,NBA,Rebounds,2.5,3.22,28.78%
Spencer Dinwiddie,vs CHI,NBA,Points,14.5,18.66,28.72%
Jayson Tatum,vs ATL,NBA,Blks+Stls,1.5,1.92,28.28%
Justin Herbert,vs BAL,NFL,Touchdowns,1.5,1.92,27.78%
Puka Nacua,@ ARI,NFL2H,Fantasy Score,6,7.66,27.62%
Alexander Mattison,vs CHI,NFL,Rush Yards,45.5,58.00,27.47%
Kyren Williams,@ ARI,NFL2H,Rush Yards,40.5,29.39,-27.43%
Donovan Mitchell,vs TOR,NBA,Rebounds,4,5.09,27.20%
Jaren Jackson Jr.,vs MIN,NBA,Fantasy Score,33,41.93,27.08%
Jaren Jackson Jr.,vs MIN,NBA1H,Fantasy Score,16.5,20.97,27.08%
Nickeil Alexander-Walker,@ MEM,NBA,Points,9.5,12.07,27.07%
Aaron Gordon,vs SAS,NBA,Points,15,19.05,27.00%
Isaiah Ihnen,@ San Francisco,CBB,Rebounds,5,3.66,-26.85%
Mark Williams,@ ORL,NBA,Fantasy Score,29,36.75,26.71%
Mark Williams,@ ORL,NBA1H,Fantasy Score,14.5,18.37,26.71%
Cyril Ngonge,vs LEC,SOCCER,Shots,1.5,1.90,26.67%
Mark Williams,@ ORL,NBA,Pts+Rebs,20.5,25.97,26.66%
Aidan O'Connell,vs KC,NFL2H,Fantasy Score,6.5,4.77,-26.60%
Laurent Brossoit,@ NSH,NHL,Goalie Saves,26.5,19.46,-26.58%
Santi Aldama,vs MIN,NBA,Rebounds,6.5,8.23,26.57%
Carlos Acevedo,@ LEO,SOCCER,Goalie Saves,3.5,4.43,26.57%
Giorgio Chiellini,@ SOU,SOCCER,Clearances,3.5,4.42,26.29%
Dalton Kincaid,@ PHI,NFL2H,Fantasy Score,6.5,4.79,-26.27%
Scottie Barnes,@ CLE,NBA,3-PT Made,1.5,1.11,-25.97%
Keaton Mitchell,@ LAC,NFL,Fantasy Score,8,10.07,25.84%
Jaren Jackson Jr.,vs MIN,NBA,Rebs+Asts,8,10.07,25.83%
Gus Edwards,@ LAC,NFL,Receiving Yards,5.5,4.09,-25.56%
Brandon Powell,vs CHI,NFL,Receiving Yards,22.5,28.23,25.47%
Darnell Mooney,@ MIN,NFL,Receiving Yards,26.5,33.21,25.32%
K.J. Osborn,vs CHI,NFL,Receiving Yards,31.5,39.45,25.24%
OG Anunoby,@ CLE,NBA,Rebounds,4,5.01,25.20%
Mikal Bridges,vs CHI,NBA,Free Throws Made,5,3.74,-25.15%
Ty Chandler,vs CHI,NFL,Receiving Yards,10.5,7.87,-25.04%
Max Jones,@ EDM,NHL,Hits,1.5,1.87,24.75%
Santi Aldama,vs MIN,NBA,Rebs+Asts,8.5,10.60,24.70%
Cameron Dicker,vs BAL,NFL,Kicking Points,6,7.48,24.70%
Mark Williams,@ ORL,NBA,Pts+Rebs+Asts,21.5,26.77,24.50%
Alexander Mattison,vs CHI,NFL,Rush + Rec Yds,58.5,72.79,24.44%
Spencer Dinwiddie,vs CHI,NBA1H,Points,7.5,9.33,24.43%
Spencer Dinwiddie,vs CHI,NBA,Pts+Rebs,18.5,22.94,23.98%
Coby White,@ BKN,NBA1H,Points,7.5,5.70,-23.95%
Quentin Johnston,vs BAL,NFL,Fantasy Score,7,8.68,23.93%
Quentin Johnston,vs BAL,NFL1H,Fantasy Score,3.5,4.34,23.93%
Nikola Jokic,vs SAS,NBA1Q,Points,8.5,6.47,-23.84%
Mark Scheifele,@ NSH,NHL,Faceoffs Won,9,6.89,-23.50%
Frank Vatrano,@ EDM,NHL,Shots on Goal,3,3.70,23.50%
Coby White,@ BKN,NBA,Free Throws Made,1.5,1.15,-23.42%
Zach LaVine,@ BKN,NBA,Rebounds,4,4.93,23.27%
Paolo Banchero,vs CHA,NBA,Assists,4.5,3.45,-23.24%
Aaron Gordon,vs SAS,NBA,Turnovers,1.5,1.85,23.23%
Mitchell Robinson,vs PHX,NBA,Points,6.5,8.01,23.18%
Nickeil Alexander-Walker,@ MEM,NBA,Pts+Rebs,12.5,15.39,23.11%
Aaron Gordon,vs SAS,NBA,Pts+Rebs,22.5,27.70,23.09%
Desmond Bane,vs MIN,NBA,Free Throws Made,3.5,4.31,23.07%
LaMelo Ball,@ ORL,NBA,Rebounds,5.5,6.76,22.88%
Mikal Bridges,vs CHI,NBA,Turnovers,2.5,1.93,-22.85%
Dennis Schroder,@ CLE,NBA1H,Points,8.5,6.58,-22.61%
Wade Taylor IV,@ Iowa State,CBB,3-PT Made,2.5,1.94,-22.49%
Rashod Bateman,@ LAC,NFL,Receiving Yards,26.5,32.41,22.30%
Derrick White,vs ATL,NBA,Rebounds,4,4.89,22.20%
Javonte Williams,vs CLE,NFL2H,Fantasy Score,5.5,6.70,21.84%
Justin Madubuike,@ LAC,NFL,Sacks,0.25,0.30,21.78%
Nickeil Alexander-Walker,@ MEM,NBA,Pts+Asts,12.5,15.22,21.74%
LaMelo Ball,@ ORL,NBA1H,Points,13,10.18,-21.71%
LaMelo Ball,@ ORL,NBA1Q,Points,6.5,5.09,-21.71%
Coby White,@ BKN,NBA,Pts+Asts,18.5,14.49,-21.68%
Mark Williams,@ ORL,NBA,Points,11,13.38,21.64%
Dorian Finney-Smith,vs CHI,NBA,Rebounds,5,6.08,21.62%
Steve Clark,vs SKC,SOCCER,Goalie Saves,2.5,3.04,21.60%
Jaren Jackson Jr.,vs MIN,NBA,Pts+Rebs+Asts,26.5,32.22,21.59%
Gus Edwards,@ LAC,NFL1H,Fantasy Score,4,4.86,21.58%
Trae Young,@ BOS,NBA,3-PT Made,2.5,1.96,-21.55%
Alan Pulido,@ HOU,SOCCER,Shots,2,2.43,21.50%
Coby White,@ BKN,NBA,3-PT Made,2.5,1.96,-21.47%
Zach Collins,@ DEN,NBA1H,Points,5.5,6.68,21.47%
Coby White,@ BKN,NBA,Points,14.5,11.41,-21.33%
Karl-Anthony Towns,@ MEM,NBA,Points,26,20.48,-21.23%
Karl-Anthony Towns,@ MEM,NBA1H,Points,13,10.24,-21.23%
Coby White,@ BKN,NBA1H,Pts+Rebs+Asts,11.5,9.07,-21.09%
Khalil Herbert,@ MIN,NFL,Rush Yards,53.5,64.70,20.93%
Goga Bitadze,vs CHA,NBA,Points,8.5,10.28,20.91%
Zach Collins,@ DEN,NBA,Fantasy Score,26,31.43,20.88%
Jordan Addison,vs CHI,NFL1H,Receiving Yards,24.5,29.61,20.86%
Zach Collins,@ DEN,NBA,Pts+Rebs,18.5,22.33,20.68%
Alex Iwobi,vs WOL,SOCCER,Shots,1.5,1.81,20.67%
RJ Barrett,vs PHX,NBA,Rebounds,4,4.83,20.65%
Jaren Jackson Jr.,vs MIN,NBA,Pts+Rebs,25.5,30.69,20.37%
LaMelo Ball,@ ORL,NBA,Points,25.5,20.35,-20.18%
Nikola Vucevic,@ BKN,NBA,Free Throws Made,1.5,1.80,20.16%
Evan Mobley,vs TOR,NBA,Rebounds,9,10.81,20.09%
Alan Pulido,@ HOU,SOCCER,Tackles,0.5,0.40,-20.00%
Odell Beckham Jr,@ LAC,NFL,Targets,5.5,4.40,-20.00%
Connor McDavid,vs ANH,NHL,Goals,0.5,0.60,19.96%
Keldon Johnson,@ DEN,NBA1Q,Points,4,4.80,19.92%
Joshua Dobbs,vs CHI,NFL,Rush Yards,37.5,30.06,-19.84%
A.J. Brown,vs BUF,NFL2H,Receiving Yards,35.5,42.54,19.82%
Aidan O'Connell,vs KC,NFL2H,Pass Yards,100.5,80.74,-19.67%
Jordan Addison,vs CHI,NFL,Receiving Yards,49.5,59.22,19.64%
Dalton Kincaid,@ PHI,NFL2H,Receiving Yards,25.5,20.50,-19.61%
Zach Collins,@ DEN,NBA,Rebs+Asts,10.5,12.53,19.38%
Franz Wagner,vs CHA,NBA1Q,Points,4,4.78,19.38%
Coby White,@ BKN,NBA,Pts+Rebs+Asts,22.5,18.15,-19.34%
Jaren Jackson Jr.,vs MIN,NBA1H,Pts+Rebs+Asts,13.5,16.11,19.34%
Austin Ekeler,vs BAL,NFL1H,Fantasy Score,7.5,8.95,19.28%
Roman Josi,vs WPG,NHL,Hits,0.5,0.60,19.22%
Nikola Jokic,vs SAS,NBA1H,Points,16,12.95,-19.08%
Gerald Everett,vs BAL,NFL,Receiving Yards,23.5,27.98,19.08%
Aaron Gordon,vs SAS,NBA1H,Points,8,9.53,19.07%
Aaron Gordon,vs SAS,NBA1Q,Points,4,4.76,19.07%
Dorian Finney-Smith,vs CHI,NBA,Fantasy Score,20,23.81,19.05%
Dorian Finney-Smith,vs CHI,NBA1H,Fantasy Score,10,11.90,19.05%
Jakobi Meyers,vs KC,NFL2H,Receiving Yards,16.5,19.64,19.03%
Dorian Finney-Smith,vs CHI,NBA,Pts+Asts,10.5,12.50,19.02%
Nikola Vucevic,@ BKN,NBA,Turnovers,1.5,1.78,18.90%
Khalil Herbert,@ MIN,NFL,Rush + Rec Yds,66.5,78.98,18.77%
Mitchell Robinson,vs PHX,NBA,Blocked Shots,1.5,1.78,18.53%
Ryan O'Reilly,vs WPG,NHL,Faceoffs Won,10,8.16,-18.37%
Cameron Johnson,vs CHI,NBA,Rebounds,5,5.91,18.29%
OG Anunoby,@ CLE,NBA,Turnovers,1.5,1.77,18.26%
Desmond Bane,vs MIN,NBA,Rebs+Asts,10,11.83,18.26%
Aaron Gordon,vs SAS,NBA,Pts+Rebs+Asts,26.5,31.33,18.23%
Paolo Banchero,vs CHA,NBA,3-PT Made,1.5,1.23,-18.18%
Goga Bitadze,vs CHA,NBA,Pts+Rebs,16,18.90,18.10%
Jarrett Allen,vs TOR,NBA,Rebounds,9.5,11.21,18.03%
Spencer Dinwiddie,vs CHI,NBA1H,Fantasy Score,15.5,18.29,18.03%
Giorgio Chiellini,@ SOU,SOCCER,Interceptions,1.5,1.77,18.00%
Isaiah Ihnen,@ San Francisco,CBB,Points,7.5,6.15,-17.99%
Jaylen Brown,vs ATL,NBA,Rebs+Asts,9.5,11.21,17.98%
Trey McBride,vs LAR,NFL2H,Receiving Yards,31.5,25.84,-17.97%
Jarrett Allen,vs TOR,NBA1Q,Points,4,3.29,-17.87%
Gus Edwards,@ LAC,NFL1H,Rush Yards,24.5,28.87,17.83%
OG Anunoby,@ CLE,NBA,Pts+Rebs,17.5,20.62,17.81%
RJ Barrett,vs PHX,NBA,Free Throws Made,4,3.29,-17.81%
Nikola Jokic,vs SAS,NBA,Points,31.5,25.90,-17.79%
Dennis Schroder,@ CLE,NBA1Q,Points,4,3.29,-17.77%
Goga Bitadze,vs CHA,NBA,Pts+Asts,10.5,12.35,17.66%
Khalil Herbert,@ MIN,NFL1H,Rush Yards,27.5,32.35,17.64%
LaMelo Ball,@ ORL,NBA1H,Pts+Rebs+Asts,21,17.30,-17.63%
Brandon Powell,vs CHI,NFL,Receptions,2.5,2.94,17.60%
De'Andre Hunter,@ BOS,NBA,Steals,0.5,0.59,17.59%
Jakob Poeltl,@ CLE,NBA1Q,Points,2.5,2.94,17.54%
Paolo Banchero,vs CHA,NBA1Q,Points,6,4.95,-17.47%
Ty Chandler,vs CHI,NFL,Rush + Rec Yds,46.5,38.38,-17.46%
Mitchell Robinson,vs PHX,NBA1H,Fantasy Score,12,14.08,17.35%
Yakov Trenin,vs WPG,NHL,Shots on Goal,2,1.65,-17.28%
Tamin Lipsey,vs Texas A&M,CBB,Assists,5,5.86,17.26%
Jusuf Nurkic,@ NYK,NBA1Q,Points,2.5,2.93,17.14%
David Njoku,@ DEN,NFL2H,Receiving Yards,24.5,20.35,-16.94%
LaMelo Ball,@ ORL,NBA,Pts+Asts,33.5,27.84,-16.91%
Saddiq Bey,@ BOS,NBA,Points,12.5,14.61,16.84%
Devin Booker,@ NYK,NBA,Rebounds,4.5,5.25,16.73%
D'Andre Swift,vs BUF,NFL2H,Fantasy Score,6,7.00,16.72%
Andreas Pereira,vs WOL,SOCCER,Shots,1.5,1.25,-16.67%
Gus Edwards,@ LAC,NFL,Rush Yards,49.5,57.74,16.64%
De'Andre Hunter,@ BOS,NBA,Rebounds,4.5,5.25,16.62%
Zach LaVine,@ BKN,NBA,Assists,3.5,4.08,16.61%
Jaren Jackson Jr.,vs MIN,NBA1H,Points,9.5,11.08,16.61%
Dejounte Murray,@ BOS,NBA,Rebounds,5,5.83,16.58%
Trae Young,@ BOS,NBA,Turnovers,3.5,4.08,16.54%
Bogdan Bogdanovic,@ BOS,NBA1H,Points,7.5,6.26,-16.49%
Saddiq Bey,@ BOS,NBA,Pts+Rebs+Asts,19.5,22.71,16.48%
Jerome Ford,@ DEN,NFL2H,Fantasy Score,4.5,5.24,16.43%
Javonte Williams,vs CLE,NFL2H,Rush Yards,30.5,35.50,16.39%
Aaron Gordon,vs SAS,NBA,Pts+Asts,19.5,22.69,16.33%
Austin Ekeler,vs BAL,NFL1H,Rush Yards,24.5,20.50,-16.33%
Karl-Anthony Towns,@ MEM,NBA,Pts+Rebs,35,29.34,-16.17%
Spencer Dinwiddie,vs CHI,NBA,Fantasy Score,31.5,36.59,16.16%
Dennis Schroder,@ CLE,NBA,Pts+Asts,21.5,18.03,-16.13%
Dorian Finney-Smith,vs CHI,NBA,Pts+Rebs+Asts,16,18.58,16.12%
Dorian Finney-Smith,vs CHI,NBA,Points,9,10.44,16.05%
Dorian Finney-Smith,vs CHI,NBA1H,Points,4.5,5.22,16.05%
Aaron Gordon,vs SAS,NBA1H,Pts+Rebs+Asts,13.5,15.67,16.04%
Gustav Nyquist,vs WPG,NHL,Shots on Goal,2,1.68,-16.02%
Karl-Anthony Towns,@ MEM,NBA,Pts+Asts,29.5,24.78,-16.01%
Ismael Govea,@ LEO,SOCCER,Tackles,2,1.68,-16.00%
Devin Booker,@ NYK,NBA,Points,28.5,23.95,-15.98%
Jakob Poeltl,@ CLE,NBA,Pts+Asts,12.5,14.50,15.98%
Dennis Schroder,@ CLE,NBA1H,Pts+Rebs+Asts,12.5,10.50,-15.98%
Mikal Bridges,vs CHI,NBA1Q,Points,6,5.04,-15.94%
Tamin Lipsey,vs Texas A&M,CBB,Points,13.5,15.62,15.69%
OG Anunoby,@ CLE,NBA,Points,13.5,15.61,15.63%
Paolo Banchero,vs CHA,NBA,Blks+Stls,1.5,1.27,-15.61%
Jaren Jackson Jr.,vs MIN,NBA,Pts+Asts,20.5,23.68,15.54%
Austin Ekeler,vs BAL,NFL,Rush Yards,48.5,41.00,-15.46%
Davante Adams,vs KC,NFL2H,Receiving Yards,29.5,34.06,15.44%
Mattias Ekholm,vs ANH,NHL,Shots on Goal,2,1.69,-15.41%
Rondale Moore,vs LAR,NFL2H,Receiving Yards,19.5,16.50,-15.38%
Aaron Gordon,vs SAS,NBA,Rebounds,7.5,8.65,15.27%
Zay Flowers,@ LAC,NFL,Receptions,5,4.24,-15.20%
Coby White,@ BKN,NBA,Fantasy Score,26,22.05,-15.18%
Coby White,@ BKN,NBA1H,Fantasy Score,13,11.03,-15.18%
Dennis Schroder,@ CLE,NBA,Points,15.5,13.16,-15.12%
Anthony Edwards,@ MEM,NBA1H,Points,13.5,11.46,-15.11%
Zach Collins,@ DEN,NBA,Pts+Rebs+Asts,22.5,25.90,15.10%
Desmond Bane,vs MIN,NBA1Q,Points,5.5,6.32,14.99%
Mitchell Robinson,vs PHX,NBA,Fantasy Score,24.5,28.16,14.95%
Trey McBride,vs LAR,NFL2H,Fantasy Score,7,5.95,-14.94%
Jusuf Nurkic,@ NYK,NBA,Rebounds,9,10.34,14.93%
DeMar DeRozan,@ BKN,NBA1Q,Points,5,5.75,14.93%
Scottie Barnes,@ CLE,NBA1H,Pts+Rebs+Asts,15.5,13.19,-14.91%
Goga Bitadze,vs CHA,NBA,Rebounds,7.5,8.62,14.91%
Victor Wembanyama,@ DEN,NBA,3-PT Made,1.5,1.28,-14.90%
Onyeka Okongwu,@ BOS,NBA,Points,8,9.18,14.73%
Mikal Bridges,vs CHI,NBA,Pts+Rebs,29.5,25.17,-14.69%
Antonee Robinson,vs WOL,SOCCER,Tackles,1.5,1.28,-14.67%
Justin Tucker,@ LAC,NFL,Fantasy Score,8.5,9.74,14.62%
Lamar Jackson,@ LAC,NFL1H,Fantasy Score,9.5,10.88,14.57%
Scottie Barnes,@ CLE,NBA,Pts+Asts,22.5,19.23,-14.52%
Devin Booker,@ NYK,NBA1H,Points,14,11.97,-14.48%
Onyeka Okongwu,@ BOS,NBA,Rebounds,7,8.01,14.43%
Gus Edwards,@ LAC,NFL,Fantasy Score,8.5,9.73,14.43%
Zay Flowers,@ LAC,NFL1H,Receiving Yards,32.5,27.81,-14.43%
Austin Ekeler,vs BAL,NFL,Receiving Yards,31.5,36.00,14.29%
Michael Mayer,vs KC,NFL2H,Receiving Yards,10.5,12.00,14.29%
Goga Bitadze,vs CHA,NBA1H,Points,4.5,5.14,14.19%
Mikal Bridges,vs CHI,NBA,Points,23.5,20.17,-14.15%
Mikal Bridges,vs CHI,NBA,Pts+Rebs+Asts,33.5,28.78,-14.09%
Devin Booker,@ NYK,NBA,Pts+Asts,34.5,29.65,-14.07%
Dorian Finney-Smith,vs CHI,NBA,Pts+Rebs,14.5,16.53,13.97%
LaMelo Ball,@ ORL,NBA,Pts+Rebs,31.5,27.11,-13.93%
Coby White,@ BKN,NBA,Pts+Rebs,17.5,15.07,-13.90%
Paolo Banchero,vs CHA,NBA1H,Points,11.5,9.90,-13.89%
Cameron Johnson,vs CHI,NBA,Rebs+Asts,7.5,8.54,13.84%
Karl-Anthony Towns,@ MEM,NBA1H,Pts+Rebs+Asts,19.5,16.82,-13.76%
Desmond Bane,vs MIN,NBA,Fantasy Score,37.5,42.63,13.69%
Jakob Poeltl,@ CLE,NBA,Pts+Rebs+Asts,21.5,24.44,13.68%
Franz Wagner,vs CHA,NBA,3-PT Made,1.5,1.71,13.67%
Jaren Jackson Jr.,vs MIN,NBA,Points,19.5,22.16,13.62%
Spencer Dinwiddie,vs CHI,NBA1H,Pts+Rebs+Asts,13.5,15.34,13.62%
Bogdan Bogdanovic,@ BOS,NBA,Points,14.5,12.53,-13.61%
Bernd Leno,vs WOL,SOCCER,Goalie Saves,2.5,2.84,13.60%
Saddiq Bey,@ BOS,NBA1H,Pts+Rebs+Asts,10,11.36,13.57%
Mikal Bridges,vs CHI,NBA,Pts+Asts,27.5,23.79,-13.49%
Scottie Barnes,@ CLE,NBA1H,Points,8.5,7.36,-13.44%
Elijah Moore,@ DEN,NFL2H,Receiving Yards,16.5,18.72,13.43%
Keenan Allen,vs BAL,NFL,Receptions,8,6.93,-13.41%
Jalen Brunson,vs PHX,NBA,Assists,5,5.67,13.40%
Goga Bitadze,vs CHA,NBA,Pts+Rebs+Asts,18.5,20.97,13.37%
David Njoku,@ DEN,NFL2H,Fantasy Score,5.5,4.77,-13.36%
Nikola Jokic,vs SAS,NBA,Pts+Asts,41.5,35.96,-13.35%
Jaren Jackson Jr.,vs MIN,NBA,3-PT Made,1.5,1.70,13.32%
Pascal Siakam,@ CLE,NBA,Rebounds,6.5,7.36,13.29%
James Cook,@ PHI,NFL2H,Rush Yards,22.5,25.49,13.29%
Leon Draisaitl,vs ANH,NHL,Shots on Goal,3.5,3.04,-13.27%
Saddiq Bey,@ BOS,NBA,Pts+Rebs,18.5,20.95,13.26%
Jusuf Nurkic,@ NYK,NBA,Pts+Rebs,19.5,22.06,13.12%
Equanimeous St. Brown,@ MIN,NFL,Receiving Yards,7.5,8.48,13.10%
