Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Mike Conley,vs NYK,NBA,Assists,5,5.71,14.16%
Rudy Gobert,vs NYK,NBA,Points,11.5,13.12,14.08%
Kyle Anderson,vs NYK,NBA,Points,7,7.98,13.99%
Terance Mann,@ SAS,NBA,Fantasy Score,21,18.08,-13.91%
Julius Randle,@ MIN,NBA,Pts+Rebs,28.5,32.46,13.89%
Jalen Brunson,@ MIN,NBA,Assists,5,5.69,13.87%
Zach Collins,vs LAC,NBA,Pts+Rebs,20.5,23.34,13.84%
Russell Westbrook,@ SAS,NBA,Points,10.5,11.95,13.83%
Rudy Gobert,vs NYK,NBA,Rebounds,10.5,11.94,13.76%
De'Aaron Fox,@ NOP,NBA,Rebs+Asts,10.5,11.94,13.76%
Dillon Brooks,@ GSW,NBA,Turnovers,1.5,1.71,13.73%
Malik Monk,@ NOP,NBA,Pts+Asts,18.5,21.00,13.53%
Klay Thompson,vs HOU,NBA,Free Throws Made,1.5,1.70,13.41%
Fred VanVleet,@ GSW,NBA,Pts+Rebs,22.5,25.52,13.40%
Mike Conley,vs NYK,NBA,Rebounds,2.5,2.83,13.23%
Domantas Sabonis,@ NOP,NBA,Pts+Asts,29,25.17,-13.21%
Brandon Ingram,vs SAC,NBA,Rebounds,5.5,6.22,13.13%
Terance Mann,@ SAS,NBA,Points,8,9.05,13.07%
Zach Collins,vs LAC,NBA,Fantasy Score,29.5,33.32,12.94%
Naz Reid,vs NYK,NBA,Points,9,10.15,12.78%
Keldon Johnson,vs LAC,NBA,Points,17.5,19.73,12.76%
Julius Randle,@ MIN,NBA,Points,20,22.55,12.75%
Anthony Edwards,vs NYK,NBA,Points,25.5,22.25,-12.74%
Chris Paul,vs HOU,NBA,Assists,8.5,7.42,-12.73%
Naji Marshall,vs SAC,NBA,Points,8,9.01,12.65%
Mike Conley,vs NYK,NBA,Fantasy Score,23.5,26.47,12.62%
Victor Wembanyama,vs LAC,NBA,Free Throws Made,3.5,3.94,12.48%
Jeremy Sochan,vs LAC,NBA,Points,10.5,11.78,12.23%
Jaime Jaquez Jr.,@ CHI,NBA,Pts+Rebs,13,14.58,12.15%
Zach LaVine,vs MIA,NBA,Pts+Asts,24.5,27.46,12.08%
Keldon Johnson,vs LAC,NBA,Pts+Rebs,22.5,25.18,11.90%
Anthony Edwards,vs NYK,NBA,Pts+Asts,29.5,25.99,-11.89%
Alperen Sengun,@ GSW,NBA,Rebs+Asts,14.5,16.21,11.80%
Mike Conley,vs NYK,NBA,Pts+Rebs+Asts,18.5,20.63,11.52%
Zach Collins,vs LAC,NBA,Pts+Rebs+Asts,24.5,27.31,11.46%
DeMar DeRozan,vs MIA,NBA,Rebs+Asts,9,10.01,11.26%
Anthony Edwards,vs NYK,NBA,3-PT Made,2.5,2.78,11.13%
Immanuel Quickley,@ MIN,NBA,Pts+Rebs+Asts,17.5,19.45,11.12%
Russell Westbrook,@ SAS,NBA,Pts+Rebs+Asts,19.5,21.64,10.99%
De'Aaron Fox,@ NOP,NBA,Points,28.5,25.41,-10.83%
Chris Paul,vs HOU,NBA,Rebs+Asts,13,11.59,-10.82%
Zion Williamson,vs SAC,NBA,Points,25.5,22.74,-10.82%
Malaki Branham,vs LAC,NBA,Points,8.5,7.58,-10.79%
Naz Reid,vs NYK,NBA,Pts+Rebs,13.5,14.91,10.48%
RJ Barrett,@ MIN,NBA,Free Throws Made,3.5,3.14,-10.43%
Duncan Robinson,@ CHI,NBA,Pts+Asts,18.5,16.58,-10.37%
RJ Barrett,@ MIN,NBA,Pts+Asts,20.5,18.39,-10.31%
Jeremy Sochan,vs LAC,NBA,Pts+Rebs,16.5,18.17,10.13%
Karl-Anthony Towns,vs NYK,NBA,Points,21.5,19.34,-10.02%
Zach LaVine,vs MIA,NBA,Fantasy Score,33,36.27,9.92%
Mitchell Robinson,@ MIN,NBA,Rebounds,9,9.89,9.88%
James Harden,@ SAS,NBA,Rebs+Asts,12.5,13.71,9.71%
Kyle Anderson,vs NYK,NBA,Rebs+Asts,8.5,7.69,-9.51%
RJ Barrett,@ MIN,NBA,Steals,0.5,0.45,-9.46%
Zach LaVine,vs MIA,NBA,Pts+Rebs+Asts,29.5,32.25,9.32%
De'Aaron Fox,@ NOP,NBA,Pts+Asts,35,31.75,-9.28%
Anthony Edwards,vs NYK,NBA,Pts+Rebs+Asts,34.5,31.37,-9.06%
Alex Caruso,vs MIA,NBA,Fantasy Score,19.5,21.25,8.99%
Karl-Anthony Towns,vs NYK,NBA,Pts+Rebs,30.5,27.77,-8.95%
Kyle Lowry,@ CHI,NBA,Assists,4.5,4.90,8.92%
Kyle Anderson,vs NYK,NBA,Rebounds,4,4.36,8.92%
Keldon Johnson,vs LAC,NBA,Rebounds,5,5.44,8.90%
Fred VanVleet,@ GSW,NBA,Points,18.5,20.14,8.88%
Domantas Sabonis,@ NOP,NBA,Points,20.5,18.69,-8.81%
DeMar DeRozan,vs MIA,NBA,Assists,4.5,4.90,8.79%
Coby White,vs MIA,NBA,Pts+Asts,16.5,15.06,-8.70%
Julian Champagnie,vs LAC,NBA,Points,9.5,10.33,8.70%
Domantas Sabonis,@ NOP,NBA,Rebs+Asts,20,21.72,8.60%
Fred VanVleet,@ GSW,NBA,Assists,7.5,6.86,-8.59%
RJ Barrett,@ MIN,NBA,Fantasy Score,27.5,25.18,-8.43%
Jae'Sean Tate,@ GSW,NBA,Points,7.5,8.13,8.39%
DeMar DeRozan,vs MIA,NBA,Pts+Rebs,25.5,27.62,8.31%
Victor Wembanyama,vs LAC,NBA,Rebounds,9,9.74,8.28%
Domantas Sabonis,@ NOP,NBA,Blks+Stls,1.5,1.62,8.20%
Zion Williamson,vs SAC,NBA,Rebs+Asts,11,11.90,8.18%
Nikola Vucevic,vs MIA,NBA,Pts+Asts,17.5,18.92,8.12%
James Harden,@ SAS,NBA,Assists,7,7.56,8.05%
Zach LaVine,vs MIA,NBA,Points,21.5,23.23,8.03%
Victor Wembanyama,vs LAC,NBA,Rebs+Asts,12,12.96,7.98%
Zion Williamson,vs SAC,NBA,Pts+Asts,29.5,27.16,-7.95%
James Harden,@ SAS,NBA,Pts+Rebs+Asts,29.5,31.82,7.87%
James Harden,@ SAS,NBA,Pts+Rebs,22.5,24.26,7.82%
Zach LaVine,vs MIA,NBA,Pts+Rebs,26,28.01,7.75%
Rudy Gobert,vs NYK,NBA,Pts+Rebs+Asts,24.5,26.37,7.63%
Stephen Curry,vs HOU,NBA,Points,28.5,26.32,-7.63%
